mode,duration_s,traveled_dist_m,p5_drift_pct,p6_drift_pct,p7_drift_pct,p5_endpt_m,p6_endpt_m,p7_endpt_m,p5_cross_track_m,p6_cross_track_m,p7_cross_track_m,p5_yaw_rmse_deg,p6_yaw_rmse_deg,p7_yaw_rmse_deg
MODE_B_WARM_START_IDEAL,10,99.0,17.24,16.9,16.75,17.06,16.72,16.57,0.81,2.35,0.58,0.7,1.95,0.9
MODE_B_WARM_START_IDEAL,30,191.8,322.62,41.07,41.0,618.72,78.76,78.62,291.33,4.74,0.66,3.39,4.46,0.95
MODE_B_WARM_START_IDEAL,60,191.8,811.89,41.15,41.07,1557.06,78.91,78.76,864.15,5.49,0.48,3.39,5.71,1.07
MODE_B_WARM_START_IDEAL,120,661.4,596.56,154.16,144.84,3945.88,1019.67,958.01,2143.01,262.89,216.68,9.89,11.32,8.99
MODE_C_COLD_START,10,99.0,21.75,21.77,21.64,21.52,21.54,21.42,1.57,1.79,0.58,0.72,1.64,1.04
MODE_C_COLD_START,30,191.8,212.7,43.72,43.64,407.91,83.84,83.69,204.64,4.22,0.69,4.71,4.48,1.31
MODE_C_COLD_START,60,191.8,506.55,43.8,43.73,971.46,84.01,83.87,559.92,4.85,0.5,6.56,5.79,1.53
MODE_C_COLD_START,120,661.4,522.07,156.95,144.14,3453.17,1038.14,953.42,1624.16,263.73,209.41,10.59,11.28,9.09
MODE_A_WARM_START_OPERATIONAL,10,99.0,17.84,17.56,17.41,17.66,17.38,17.23,0.85,2.41,0.58,1.01,1.92,0.91
MODE_A_WARM_START_OPERATIONAL,30,191.8,321.33,41.24,41.13,616.26,79.08,78.89,290.74,5.07,0.66,3.4,4.6,0.97
MODE_A_WARM_START_OPERATIONAL,60,191.8,817.5,40.98,40.87,1567.8,78.6,78.37,870.19,6.11,0.48,3.45,5.58,1.06
MODE_A_WARM_START_OPERATIONAL,120,661.4,592.98,154.34,142.54,3922.22,1020.88,942.8,2123.45,263.24,213.8,9.9,11.36,8.94
