period_id,start_idx,end_idx,start_time_s,end_time_s,duration_s,n_samples
0,96,488,9.6,48.799,39.2,393
1,6556,6611,655.6,661.1,5.5,56
2,13715,13790,1371.5,1378.999,7.5,76
3,24200,24341,2420.0,2434.1,14.1,142
4,33800,33955,3379.999,3395.5,15.5,156
5,37370,37434,3737.0,3743.4,6.4,65
6,44030,44093,4402.999,4409.299,6.3,64
7,46200,46685,4620.0,4668.499,48.5,486
8,48173,48418,4817.299,4841.799,24.5,246
9,48420,48504,4841.999,4850.399,8.4,85
10,49290,49504,4928.999,4950.399,21.4,215
11,50270,50538,5026.999,5053.799,26.8,269
12,50750,50866,5074.999,5086.599,11.6,117
13,51559,51616,5155.901,5161.599,5.7,58
