epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,3.86,2.3348,1.7631,0.6646,0.001,1.92,True
2,1.287,2.0573,1.5596,0.7396,0.001,1.04,True
3,1.2028,2.0615,1.528,0.7385,0.001,1.07,False
4,1.1177,2.2508,1.6654,0.6883,0.001,1.03,False
5,1.0634,2.1161,1.575,0.7245,0.001,1.03,False
6,1.0148,2.0767,1.5372,0.7346,0.0005,1.1,False
7,0.9696,1.9995,1.4608,0.754,0.0005,1.05,True
8,0.9335,2.2208,1.6401,0.6965,0.0005,1.05,False
9,0.9031,2.0382,1.4898,0.7444,0.0005,1.06,False
10,0.892,1.9315,1.4014,0.7705,0.0005,1.02,True
11,0.8959,2.0194,1.4747,0.7491,0.0005,1.03,False
12,0.8731,2.0119,1.4554,0.7509,0.0005,1.05,False
13,0.8551,2.0681,1.5123,0.7368,0.0005,1.08,False
14,0.8547,2.1445,1.5605,0.717,0.00025,1.07,False
15,0.8242,1.9731,1.4285,0.7605,0.00025,1.07,False
16,0.8094,2.0574,1.4689,0.7395,0.00025,1.04,False
17,0.8196,1.9898,1.4272,0.7564,0.00025,1.05,False
18,0.791,2.0032,1.4573,0.7531,0.000125,1.13,False
