epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,3.7253,3.1019,2.3182,0.408,0.001,1.11,True
2,2.0494,2.7695,2.0659,0.5281,0.001,0.88,True
3,1.4724,2.2558,1.7222,0.6869,0.001,0.91,True
4,1.279,2.1658,1.6368,0.7114,0.001,0.84,True
5,1.176,2.2339,1.6864,0.6929,0.001,0.92,False
6,1.091,2.1193,1.6168,0.7236,0.001,0.86,True
7,1.0213,2.0899,1.5474,0.7313,0.001,0.82,True
8,0.9561,2.0926,1.5526,0.7306,0.001,0.83,False
9,0.9236,2.1745,1.6203,0.7091,0.001,0.82,False
10,0.8633,2.0559,1.505,0.7399,0.001,0.84,True
11,0.8324,2.3305,1.712,0.6658,0.001,0.85,False
12,0.7931,2.2513,1.6334,0.6882,0.001,0.84,False
13,0.7875,2.1015,1.4814,0.7283,0.001,0.84,False
14,0.7358,2.0904,1.4688,0.7311,0.0005,0.87,False
15,0.6809,2.2192,1.6052,0.697,0.0005,0.85,False
16,0.6704,2.2729,1.624,0.6821,0.0005,0.81,False
17,0.6516,2.3001,1.6624,0.6745,0.0005,0.83,False
18,0.6323,2.2916,1.6455,0.6769,0.00025,0.85,False
