epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,6.401,6.4784,5.2266,-1.5824,0.001,17.78,True
2,5.6098,6.0432,4.7299,-1.2471,0.001,0.51,True
3,5.0926,5.6086,4.3428,-0.9355,0.001,0.5,True
4,4.3332,4.6588,3.6213,-0.3354,0.001,0.5,True
5,3.5047,3.8832,2.9557,0.0722,0.001,0.5,True
6,2.9439,3.418,2.5634,0.2812,0.001,0.49,True
7,2.5993,3.1776,2.3549,0.3787,0.001,0.48,True
8,2.405,3.1007,2.2774,0.4084,0.001,0.49,True
9,2.3089,3.0976,2.2553,0.4096,0.001,0.49,True
10,2.2605,3.0975,2.245,0.4096,0.001,0.56,True
11,2.2383,3.1199,2.26,0.4011,0.001,0.53,False
12,2.2236,3.1423,2.2767,0.3925,0.001,0.5,False
13,2.2179,3.1648,2.2893,0.3837,0.0005,0.51,False
14,2.2075,3.1525,2.2842,0.3885,0.0005,0.5,False
15,2.2046,3.1741,2.2965,0.3801,0.0005,0.54,False
16,2.2051,3.174,2.2943,0.3802,0.0005,0.59,False
17,2.203,3.1733,2.2983,0.3804,0.00025,0.59,False
18,2.1997,3.1791,2.3038,0.3781,0.00025,0.59,False
