epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,4.3212,3.2975,2.4669,0.331,0.001,0.9,True
2,2.2574,2.6998,1.9854,0.5515,0.001,0.86,True
3,1.5379,2.4223,1.8979,0.639,0.001,0.86,True
4,1.2682,2.5023,1.909,0.6147,0.001,0.84,False
5,1.1768,2.2615,1.7326,0.6853,0.001,0.87,True
6,1.0984,2.3271,1.7946,0.6668,0.001,0.86,False
7,1.0201,2.4772,1.9006,0.6224,0.001,0.83,False
8,0.9563,2.2185,1.6377,0.6972,0.001,0.84,True
9,0.9114,2.1826,1.5999,0.7069,0.001,0.87,True
10,0.8888,2.1686,1.6086,0.7106,0.001,0.85,True
11,0.8537,2.0753,1.5029,0.735,0.001,0.92,True
12,0.8102,2.0687,1.534,0.7367,0.001,0.82,True
13,0.7996,2.1446,1.5563,0.717,0.001,0.83,False
14,0.7652,2.118,1.544,0.724,0.001,0.85,False
15,0.7273,2.0735,1.4805,0.7355,0.001,0.85,False
16,0.7215,2.1286,1.5391,0.7212,0.0005,0.84,False
17,0.6613,2.0779,1.4869,0.7343,0.0005,0.88,False
18,0.6503,2.1685,1.5613,0.7107,0.0005,0.85,False
19,0.6407,2.1248,1.5373,0.7222,0.0005,0.87,False
20,0.6197,2.0228,1.4534,0.7482,0.0005,0.84,True
