epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,3.0095,2.2873,1.6422,0.6781,0.001,1.83,True
2,1.731,2.1346,1.533,0.7197,0.001,1.72,True
3,1.5735,1.9589,1.4311,0.7639,0.001,1.72,True
4,1.437,2.0724,1.5366,0.7357,0.001,1.71,False
5,1.3441,2.1845,1.6006,0.7064,0.001,1.72,False
6,1.2957,2.1555,1.6023,0.7141,0.001,1.76,False
7,1.2486,2.0579,1.5205,0.7394,0.0005,1.78,False
8,1.148,2.0862,1.538,0.7322,0.0005,1.8,False
9,1.143,1.9908,1.4441,0.7561,0.0005,1.74,False
10,1.1081,1.9597,1.4319,0.7637,0.0005,1.71,False
11,1.0782,2.0036,1.4618,0.753,0.00025,1.69,False
