epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,2.2842,2.2447,1.6316,0.69,0.001,2.08,True
2,1.3779,2.1201,1.5508,0.7234,0.001,1.93,True
3,1.2547,2.4823,1.9159,0.6209,0.001,2.03,False
4,1.1671,2.1143,1.5736,0.7249,0.001,1.98,True
5,1.0762,2.1281,1.5826,0.7213,0.001,1.94,False
6,1.0384,2.0608,1.5514,0.7387,0.001,1.94,True
7,1.0204,1.9173,1.426,0.7738,0.001,1.98,True
8,0.9838,1.9853,1.4631,0.7575,0.001,2.0,False
9,0.9669,2.0677,1.5099,0.7369,0.001,1.96,False
10,0.9225,1.9752,1.4451,0.7599,0.001,1.92,False
11,0.9041,2.2317,1.6409,0.6936,0.0005,1.95,False
12,0.8356,1.9683,1.4348,0.7616,0.0005,1.96,False
13,0.814,2.0299,1.4999,0.7465,0.0005,1.99,False
14,0.8012,1.9983,1.4717,0.7543,0.0005,2.05,False
15,0.7893,1.9137,1.4004,0.7747,0.0005,1.96,True
16,0.7672,1.9958,1.4562,0.7549,0.0005,1.91,False
17,0.7763,2.1129,1.5445,0.7253,0.0005,2.15,False
18,0.7618,1.9963,1.4538,0.7548,0.0005,1.94,False
19,0.7365,1.9113,1.3831,0.7752,0.0005,1.88,True
20,0.7337,1.9941,1.4475,0.7553,0.0005,1.99,False
