epoch,train_loss,val_rmse,val_mae,val_r2,lr,duration_s,is_best
1,4.1234,2.4464,1.7796,0.6318,0.001,2.07,True
2,1.3467,2.0183,1.5147,0.7494,0.001,1.8,True
3,1.2362,2.0791,1.4992,0.734,0.001,1.72,False
4,1.1657,2.1244,1.548,0.7223,0.001,1.8,False
5,1.1047,1.9906,1.4042,0.7562,0.001,1.76,True
6,1.0528,2.0617,1.4815,0.7385,0.001,1.79,False
7,1.0373,2.0968,1.5252,0.7295,0.001,1.82,False
8,1.0681,1.9531,1.3857,0.7653,0.001,1.81,True
9,0.9938,2.1542,1.586,0.7145,0.001,1.76,False
10,0.9759,2.0892,1.519,0.7315,0.001,1.77,False
11,0.9838,1.9336,1.3772,0.77,0.001,1.76,True
12,0.9348,1.9355,1.3868,0.7695,0.001,1.85,False
13,0.9525,1.9421,1.3799,0.7679,0.001,1.78,False
14,0.8667,2.1714,1.57,0.7099,0.001,1.82,False
15,0.8816,2.0716,1.4759,0.7359,0.0005,1.74,False
16,0.8704,1.9715,1.4143,0.7608,0.0005,1.76,False
17,0.7727,1.8883,1.3566,0.7806,0.0005,1.76,True
18,0.7954,1.9293,1.388,0.771,0.0005,1.8,False
19,0.7382,1.9196,1.3851,0.7733,0.0005,1.82,False
20,0.7473,1.9202,1.3626,0.7731,0.0005,1.74,False
