duration_s,architecture,traveled_distance_m,endpoint_error_m,drift_pct,pos_rmse_m,pos_mae_m,pos_max_m,pos_p95_m,vel_rmse_mps,vel_mae_mps,yaw_rmse_deg,yaw_mae_deg,final_yaw_err_deg
10,E0_Raw_INS,98.96,24.14,24.4,39.11,32.14,78.82,73.25,3.3678,2.7394,101.55,101.55,101.83
10,E1_ESKF_no_AI,98.96,34.67,35.03,47.59,43.07,79.23,74.78,3.6912,3.4307,0.65,0.55,0.96
10,E2_Full_Phase5,98.96,52.11,52.66,55.96,51.49,82.74,79.55,5.5086,5.134,1.26,1.04,1.24
30,E0_Raw_INS,191.78,257.35,134.19,113.54,89.68,257.35,231.41,12.9391,11.1714,102.17,102.17,102.79
30,E1_ESKF_no_AI,191.78,286.11,149.19,145.81,124.08,286.11,261.11,10.0792,8.6829,1.42,1.29,1.79
30,E2_Full_Phase5,191.78,222.84,116.19,144.48,127.68,238.06,224.98,9.1195,8.3554,6.61,5.46,6.68
60,E0_Raw_INS,191.78,829.32,432.43,407.06,314.74,829.32,769.9,16.6194,15.3972,102.48,102.48,102.79
60,E1_ESKF_no_AI,191.78,1103.72,575.51,500.1,387.23,1103.72,996.86,21.06,18.1149,1.39,1.3,0.65
60,E2_Full_Phase5,191.78,516.06,269.09,294.46,253.93,516.06,489.28,11.8115,11.1182,6.33,5.73,4.42
120,E0_Raw_INS,661.44,1594.55,241.07,972.65,805.38,1632.91,1555.71,15.5357,14.4322,104.16,103.87,161.51
120,E1_ESKF_no_AI,661.44,4357.32,658.76,1988.53,1494.54,4357.32,3941.31,47.4828,40.1764,8.34,3.37,61.95
120,E2_Full_Phase5,661.44,4788.3,723.92,1836.31,1209.71,4788.3,4132.5,65.7012,43.2939,11.31,6.79,76.22
