column_name,source_file,domain,semantic_meaning,sensor,unit,dtype,interpretation_source,observed_min,observed_max,observed_mean,observed_std,missing_count,missing_pct
gps_lat,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,GPS latitude from smartphone receiver,Smartphone GPS,degrees,float64,paper Table 4,52.398403,52.419914,52.409536,0.005494,0,0.0
gps_lon,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,GPS longitude from smartphone receiver,Smartphone GPS,degrees,float64,paper Table 4,-1.603373,-1.50529,-1.578045,0.020548,0,0.0
gps_alt,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,GPS altitude above sea level,Smartphone GPS,m,float64,paper Table 4,142.87,191.35,173.891958,9.965975,0,0.0
gps_speed_kmh,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Speed from smartphone GPS receiver,Smartphone GPS,km/h,float64,paper Table 4,0.0,18.82,7.430906,4.35471,0,0.0
gps_acc_m,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Estimated horizontal accuracy of GPS fix,Smartphone GPS,m,int64,paper Table 4,2.0,32.0,2.878928,1.367404,0,0.0
gps_heading_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,GPS-derived heading/bearing of travel,Smartphone GPS,degrees,float64,paper Table 4,0.1,359.56,192.56289,103.226979,0,0.0
gps_sats,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Number of GPS satellites in range (may be 'used / total'),Smartphone GPS,count,object,paper Table 4,,,,,0,0.0
time_ms,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Time elapsed since recording start,AndroSensor app,ms,int64,paper Table 4,2922.0,5177421.0,2590171.457233,1493792.782086,0,0.0
datetime_raw,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Wall-clock date and time of each sample,System clock,YYYY-MO-DD HH-MI-SS_SSS,object,paper Table 4,,,,,0,0.0
acc_x,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,"Accelerometer X-axis (phone body frame, includes gravity)",3-axis accelerometer,m/s²,float64,paper Table 4,-8.3689,7.5736,0.042282,1.060246,0,0.0
acc_y,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,"Accelerometer Y-axis (phone body frame, includes gravity)",3-axis accelerometer,m/s²,float64,paper Table 4,-8.2137,11.3521,0.062235,1.066437,0,0.0
acc_z,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,"Accelerometer Z-axis (phone body frame, includes gravity)",3-axis accelerometer,m/s²,float64,paper Table 4,2.4242,16.1533,9.847418,0.51318,0,0.0
grav_x,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gravity component along X-axis (from Android sensor fusion),Android gravity sensor,m/s²,float64,paper Table 4,-0.2561,0.2239999999999999,-0.00017,0.019493,0,0.0
grav_y,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gravity component along Y-axis (from Android sensor fusion),Android gravity sensor,m/s²,float64,paper Table 4,-0.3498,0.4363,3.5e-05,0.022922,0,0.0
grav_z,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gravity component along Z-axis (from Android sensor fusion),Android gravity sensor,m/s²,float64,paper Table 4,9.7963,9.8066,9.806545,0.000177,0,0.0
gyro_x,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gyroscope yaw angular velocity around X-axis,3-axis gyroscope,rad/s,float64,paper Table 4,-1.1627,1.3556,0.002192,0.099868,0,0.0
gyro_y,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gyroscope pitch angular velocity around Y-axis,3-axis gyroscope,rad/s,float64,paper Table 4,-0.7799,0.633,-0.007249,0.141653,0,0.0
