column,domain,dtype,total_count,non_null_count,null_count,null_pct,inf_count,min,max,mean,std,median,is_constant,impossible_count,impossible_pct,outlier_5std_count
gps_lat,smartphone,float64,51746,51746,0,0.0,0,52.398403,52.419914,52.409536,0.005494,52.40949,False,0,0.0,0
gps_lon,smartphone,float64,51746,51746,0,0.0,0,-1.603373,-1.50529,-1.578045,0.020548,-1.581289,False,0,0.0,0
gps_alt,smartphone,float64,51746,51746,0,0.0,0,142.87,191.35,173.891958,9.965975,175.61,False,0,0.0,0
gps_speed_kmh,smartphone,float64,51746,51746,0,0.0,0,0.0,18.82,7.430906,4.35471,7.18,False,0,0.0,0
gps_acc_m,smartphone,int64,51746,51746,0,0.0,0,2.0,32.0,2.878928,1.367404,3.0,False,0,0.0,91
gps_heading_deg,smartphone,float64,51746,51746,0,0.0,0,0.1,359.56,192.56289,103.226979,190.54,False,0,0.0,0
gps_sats,smartphone,object,51746,51746,0,0.0,0,,,,,,False,0,0.0,0
time_ms,smartphone,int64,51746,51746,0,0.0,0,2922.0,5177421.0,2590171.457233,1493792.782086,2590171.5,False,0,0.0,0
datetime_raw,smartphone,object,51746,51746,0,0.0,0,,,,,,False,0,0.0,0
acc_x,smartphone,float64,51746,51746,0,0.0,0,-8.3689,7.5736,0.042282,1.060246,0.0598,False,0,0.0,28
acc_y,smartphone,float64,51746,51746,0,0.0,0,-8.2137,11.3521,0.062235,1.066437,0.0293,False,0,0.0,37
acc_z,smartphone,float64,51746,51746,0,0.0,0,2.4242,16.1533,9.847418,0.51318,9.8514,False,0,0.0,159
grav_x,smartphone,float64,51746,51746,0,0.0,0,-0.2561,0.2239999999999999,-0.00017,0.019493,-0.0001,False,0,0.0,193
grav_y,smartphone,float64,51746,51746,0,0.0,0,-0.3498,0.4363,3.5e-05,0.022922,0.0001,False,0,0.0,196
grav_z,smartphone,float64,51746,51746,0,0.0,0,9.7963,9.8066,9.806545,0.000177,9.8066,False,0,0.0,212
