period_idx,start_time_s,duration_s,sensor,unit,mean,std,min,max,n_samples
0,9.0,43.8,acc_x,m/s²,-0.037103,0.421376,-3.0131,0.5762,439
0,9.0,43.8,acc_y,m/s²,-0.147456,0.459418,-2.9488,0.5966,439
0,9.0,43.8,acc_z,m/s²,9.878072,0.122867,8.5108,10.7612,439
0,9.0,43.8,grav_x,m/s²,0.000316,0.002402,-0.0167,0.0224,439
0,9.0,43.8,grav_y,m/s²,-0.000261,0.005389,-0.0511,0.0322,439
0,9.0,43.8,grav_z,m/s²,9.806589,3.1e-05,9.8065,9.8066,439
0,9.0,43.8,gyro_x,rad/s,-0.000896,0.019433,-0.1901,0.1095,439
0,9.0,43.8,gyro_y,rad/s,-0.014255,0.072969,-0.4904,0.087,439
0,9.0,43.8,gyro_z,rad/s,0.001568,0.014653,-0.0602,0.1,439
0,9.0,43.8,mag_x,μT,-7.483371,0.568704,-8.37,-3.19,439
0,9.0,43.8,mag_y,μT,-26.09713,0.456356,-28.37,-24.81,439
0,9.0,43.8,mag_z,μT,31.621526,1.258617,19.13,33.06,439
1,192.0,12.9,acc_x,m/s²,0.225687,0.193355,-0.1434,1.0619,130
1,192.0,12.9,acc_y,m/s²,-0.873612,0.859917,-3.467,0.6787,130
1,192.0,12.9,acc_z,m/s²,9.842779,0.306669,9.1338,10.5092,130
1,192.0,12.9,grav_x,m/s²,8.5e-05,0.002522,-0.01,0.0084,130
1,192.0,12.9,grav_y,m/s²,-0.000894,0.006987,-0.0285,0.0262,130
1,192.0,12.9,grav_z,m/s²,9.806592,2.8e-05,9.8065,9.8066,130
1,192.0,12.9,gyro_x,rad/s,0.000461,0.032232,-0.1059,0.075,130
1,192.0,12.9,gyro_y,rad/s,-0.005611,0.017892,-0.0654,0.0441,130
1,192.0,12.9,gyro_z,rad/s,0.00382,0.016621,-0.0384,0.0826,130
1,192.0,12.9,mag_x,μT,-2.996462,0.562108,-4.62,-1.62,130
1,192.0,12.9,mag_y,μT,-27.995923,0.364246,-28.87,-27.19,130
1,192.0,12.9,mag_z,μT,14.567692,0.725016,13.44,16.63,130
2,456.999,22.8,acc_x,m/s²,0.150616,0.227015,-1.1706,1.1098,229
2,456.999,22.8,acc_y,m/s²,-0.124139,0.685346,-2.6442,0.6894,229
2,456.999,22.8,acc_z,m/s²,9.87269,0.361157,9.1921,10.5784,229
2,456.999,22.8,grav_x,m/s²,-9.8e-05,0.001648,-0.0086,0.0048,229
2,456.999,22.8,grav_y,m/s²,-0.000697,0.004583,-0.0193,0.0277,229
2,456.999,22.8,grav_z,m/s²,9.80659,3.1e-05,9.8065,9.8066,229
2,456.999,22.8,gyro_x,rad/s,0.002472,0.034164,-0.0738,0.0594,229
2,456.999,22.8,gyro_y,rad/s,-0.011946,0.023973,-0.1335,0.0214,229
2,456.999,22.8,gyro_z,rad/s,0.005067,0.017233,-0.0273,0.1383,229
2,456.999,22.8,mag_x,μT,-3.779869,0.302166,-4.81,-2.87,229
2,456.999,22.8,mag_y,μT,-27.934716,0.289864,-28.75,-27.12,229
2,456.999,22.8,mag_z,μT,19.114061,0.453614,16.69,20.13,229
3,651.0,17.9,acc_x,m/s²,0.471443,0.87825,-1.8078,3.9452,180
3,651.0,17.9,acc_y,m/s²,-0.168394,0.766036,-3.5383,1.7287,180
3,651.0,17.9,acc_z,m/s²,9.876824,0.275666,8.9385,10.8496,180
3,651.0,17.9,grav_x,m/s²,5.2e-05,0.007586,-0.0257,0.0292,180
3,651.0,17.9,grav_y,m/s²,0.00057,0.012093,-0.0534,0.037,180
3,651.0,17.9,grav_z,m/s²,9.806579,4e-05,9.8065,9.8066,180
3,651.0,17.9,gyro_x,rad/s,0.002363,0.047495,-0.1742,0.1964,180
3,651.0,17.9,gyro_y,rad/s,0.070633,0.129246,-0.1618,0.5106,180
3,651.0,17.9,gyro_z,rad/s,-0.013777,0.047691,-0.1766,0.1735,180
